ars,parent_ars,type,gen,bez
059700016016,05970,gem,Freudenberg,Stadt
059700044044,05970,gem,Wilnsdorf,Gemeinde
059700004004,05970,gem,Bad Berleburg,Stadt
059700008008,05970,gem,Burbach,Gemeinde
059700012012,05970,gem,Erndtebrück,Gemeinde
059700020020,05970,gem,Hilchenbach,Stadt
059700024024,05970,gem,Kreuztal,Stadt
059700028028,05970,gem,Bad Laasphe,Stadt
059700032032,05970,gem,Netphen,Stadt
059700036036,05970,gem,Neunkirchen,Gemeinde
059700040040,05970,gem,Siegen,Stadt
