ars,parent_ars,type,gen,bez
059780020020,05978,gem,Kamen,Stadt
059780004004,05978,gem,Bergkamen,Stadt
059780008008,05978,gem,Bönen,Gemeinde
059780012012,05978,gem,Fröndenberg/Ruhr,Stadt
059780016016,05978,gem,Holzwickede,Gemeinde
059780024024,05978,gem,Lünen,Stadt
059780036036,05978,gem,Unna,Stadt
059780028028,05978,gem,Schwerte,Stadt
059780032032,05978,gem,Selm,Stadt
059780040040,05978,gem,Werne,Stadt
