ars,parent_ars,type,gen,bez
059740004004,05974,gem,Anröchte,Gemeinde
059740008008,05974,gem,Bad Sassendorf,Gemeinde
059740028028,05974,gem,Lippstadt,Stadt
059740056056,05974,gem,Wickede (Ruhr),Gemeinde
059740012012,05974,gem,Ense,Gemeinde
059740040040,05974,gem,Soest,Stadt
059740016016,05974,gem,Erwitte,Stadt
059740020020,05974,gem,Geseke,Stadt
059740024024,05974,gem,Lippetal,Gemeinde
059740032032,05974,gem,Möhnesee,Gemeinde
059740052052,05974,gem,Werl,Stadt
059740036036,05974,gem,Rüthen,Stadt
059740044044,05974,gem,Warstein,Stadt
059740048048,05974,gem,Welver,Gemeinde
