ars,parent_ars,type,gen,bez
05916,059,krs,Herne,Kreisfreie Stadt
05954,059,krs,Ennepe-Ruhr-Kreis,Kreis
05958,059,krs,Hochsauerlandkreis,Kreis
05962,059,krs,Märkischer Kreis,Kreis
05966,059,krs,Olpe,Kreis
05970,059,krs,Siegen-Wittgenstein,Kreis
05974,059,krs,Soest,Kreis
05978,059,krs,Unna,Kreis
05911,059,krs,Bochum,Kreisfreie Stadt
05913,059,krs,Dortmund,Kreisfreie Stadt
05914,059,krs,Hagen,Kreisfreie Stadt
05915,059,krs,Hamm,Kreisfreie Stadt
