ars,parent_ars,type,gen,bez
059660028028,05966,gem,Wenden,Gemeinde
059660004004,05966,gem,Attendorn,Stadt
059660008008,05966,gem,Drolshagen,Stadt
059660024024,05966,gem,Olpe,Stadt
059660012012,05966,gem,Finnentrop,Gemeinde
059660016016,05966,gem,Kirchhundem,Gemeinde
059660020020,05966,gem,Lennestadt,Stadt
