ars,parent_ars,type,gen,bez
059540024024,05954,gem,Schwelm,Stadt
059540004004,05954,gem,Breckerfeld,Stadt
059540008008,05954,gem,Ennepetal,Stadt
059540012012,05954,gem,Gevelsberg,Stadt
059540016016,05954,gem,Hattingen,Stadt
059540020020,05954,gem,Herdecke,Stadt
059540028028,05954,gem,Sprockhövel,Stadt
059540032032,05954,gem,Wetter (Ruhr),Stadt
059540036036,05954,gem,Witten,Stadt
